Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Services,Chrome 121.0.0.0,,,12-02-2024 12:03:12,12-02-2024 12:05:52,2m - 39.904s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Registration,Chrome 121.0.0.0,,,12-02-2024 12:03:13,12-02-2024 12:03:54,41.239s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:03:13,12-02-2024 12:03:15,1.775s,PASSED
navigateToUrl(webfinal),Chrome 121.0.0.0,,,12-02-2024 12:03:15,12-02-2024 12:03:18,3.372s,PASSED
waitForPageLoad(3),Chrome 121.0.0.0,,,12-02-2024 12:03:18,12-02-2024 12:03:19,0.146s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 12:03:19,12-02-2024 12:03:23,3.974s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,12-02-2024 12:03:23,12-02-2024 12:03:23,0.613s,PASSED
"setText(findTestObject(""FinalWeb/Page_Advantage Shopping/input__usernameRegisterPage (1)""), username)",Chrome 121.0.0.0,,,12-02-2024 12:03:23,12-02-2024 12:03:36,12.382s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,12-02-2024 12:03:36,12-02-2024 12:03:37,1.162s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 12:03:37,12-02-2024 12:03:38,1.135s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), cpassword)",Chrome 121.0.0.0,,,12-02-2024 12:03:38,12-02-2024 12:03:39,1.159s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,12-02-2024 12:03:39,12-02-2024 12:03:40,1.144s,PASSED
