Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Market Services,Chrome 121.0.0.0,,,12-02-2024 12:36:01,12-02-2024 12:40:28,4m - 27.328s,FAILED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 12:36:01,12-02-2024 12:36:57,55.825s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:36:01,12-02-2024 12:36:03,1.628s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:36:03,12-02-2024 12:36:05,1.727s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:36:05,12-02-2024 12:36:12,7.069s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:36:12,12-02-2024 12:36:18,6.683s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:36:18,12-02-2024 12:36:19,0.349s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 12:36:19,12-02-2024 12:36:19,0.011s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 12:36:19,12-02-2024 12:36:19,0.002s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 12:36:19,12-02-2024 12:36:23,3.983s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 12:36:23,12-02-2024 12:36:55,31.847s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 12:36:57,12-02-2024 12:36:57,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 12:36:57,12-02-2024 12:37:51,54.207s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:36:57,12-02-2024 12:36:58,0.862s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:36:58,12-02-2024 12:37:00,1.860s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:37:00,12-02-2024 12:37:06,6.650s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:37:06,12-02-2024 12:37:12,5.905s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:37:12,12-02-2024 12:37:12,0.349s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 12:37:12,12-02-2024 12:37:17,4.342s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 12:37:17,12-02-2024 12:37:17,0.001s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 12:37:17,12-02-2024 12:37:17,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 12:37:17,12-02-2024 12:37:17,0.336s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 12:37:17,12-02-2024 12:37:49,31.780s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 12:37:51,12-02-2024 12:37:51,0.000s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Add Product to Cart,Chrome 121.0.0.0,,,12-02-2024 12:37:51,12-02-2024 12:38:46,55.492s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:37:51,12-02-2024 12:37:52,0.796s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:37:52,12-02-2024 12:37:54,2.013s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:37:54,12-02-2024 12:38:01,6.805s,PASSED
"mouseOver(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:38:01,12-02-2024 12:38:08,7.511s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:38:08,12-02-2024 12:38:08,0.337s,PASSED
"if (color == ""tosca"")",Chrome 121.0.0.0,,,12-02-2024 12:38:08,12-02-2024 12:38:08,0.001s,PASSED
"if (color == ""black"")",Chrome 121.0.0.0,,,12-02-2024 12:38:08,12-02-2024 12:38:12,3.996s,PASSED
"if (color == ""red"")",Chrome 121.0.0.0,,,12-02-2024 12:38:12,12-02-2024 12:38:12,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 12:38:12,12-02-2024 12:38:13,0.337s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/address""), qty)",Chrome 121.0.0.0,,,12-02-2024 12:38:13,12-02-2024 12:38:44,31.647s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 12:38:46,12-02-2024 12:38:46,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Payment,Chrome 121.0.0.0,,,12-02-2024 12:38:47,12-02-2024 12:39:21,34.693s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:38:47,12-02-2024 12:38:47,0.815s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:38:47,12-02-2024 12:38:49,1.896s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 12:38:49,12-02-2024 12:38:52,2.986s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 12:38:52,12-02-2024 12:38:54,1.464s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 12:38:54,12-02-2024 12:38:55,1.465s,PASSED
"sendKeys(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 12:38:55,12-02-2024 12:38:56,1.099s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:38:56,12-02-2024 12:39:04,7.132s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:39:04,12-02-2024 12:39:06,2.442s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 12:39:06,12-02-2024 12:39:11,5.045s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_CHECKOUT  (1,138.00)""))",Chrome 121.0.0.0,,,12-02-2024 12:39:11,12-02-2024 12:39:13,1.973s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_NEXT""))",Chrome 121.0.0.0,,,12-02-2024 12:39:13,12-02-2024 12:39:17,3.883s,PASSED
"if (paymentMethod == ""safepay"")",Chrome 121.0.0.0,,,12-02-2024 12:39:17,12-02-2024 12:39:18,1.593s,PASSED
"click(findTestObject(""FinalWeb/Page_Advantage Shopping/sec-sender_PAY NOW""))",Chrome 121.0.0.0,,,12-02-2024 12:39:18,12-02-2024 12:39:19,0.682s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 12:39:21,12-02-2024 12:39:21,0.001s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Payment,Chrome 121.0.0.0,,,12-02-2024 12:39:21,12-02-2024 12:39:54,33.174s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:39:21,12-02-2024 12:39:22,0.788s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:39:22,12-02-2024 12:39:24,2.102s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 12:39:24,12-02-2024 12:39:26,2.102s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 12:39:26,12-02-2024 12:39:29,2.348s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 12:39:29,12-02-2024 12:39:30,1.473s,PASSED
"sendKeys(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 12:39:30,12-02-2024 12:39:31,1.125s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 12:39:31,12-02-2024 12:39:38,6.855s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/img_SHOP NOW_25""))",Chrome 121.0.0.0,,,12-02-2024 12:39:38,12-02-2024 12:39:41,2.546s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 12:39:41,12-02-2024 12:39:46,4.946s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_CHECKOUT  (1,138.00)""))",Chrome 121.0.0.0,,,12-02-2024 12:39:46,12-02-2024 12:39:48,2.117s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/button_NEXT""))",Chrome 121.0.0.0,,,12-02-2024 12:39:48,12-02-2024 12:39:51,3.451s,PASSED
"if (paymentMethod == ""safepay"")",Chrome 121.0.0.0,,,12-02-2024 12:39:51,12-02-2024 12:39:51,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 12:39:51,12-02-2024 12:39:52,1.239s,FAILED
Video,Chrome 121.0.0.0,,,12-02-2024 12:39:54,12-02-2024 12:39:54,0.000s,PASSED
,,,,,,,
Test Cases/Final Assignment WEB/Payment,Chrome 121.0.0.0,,,12-02-2024 12:39:55,12-02-2024 12:40:28,33.470s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 12:39:55,12-02-2024 12:39:55,0.801s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,12-02-2024 12:39:55,12-02-2024 12:39:57,1.821s,PASSED
"click(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 12:39:57,12-02-2024 12:40:00,3.003s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 12:40:00,12-02-2024 12:40:02,1.342s,PASSED
"setText(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 12:40:02,12-02-2024 12:40:03,1.469s,PASSED
"sendKeys(findTestObject(""Object Repository/FinalWeb/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 12:40:03,12-02-2024 12:40:04,1.115s,PASSED
